entityid,TYPE,NAME,ADDRESS,LOCATION,LATITUDE,LONGITUDE
,ATHLETIC FIELD,LAKEVIEW SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,3100 20TH AVENUE,LAKEVIEW SCHOOL,50.432101247,-104.626031804
,BALL DIAMOND,MCMURCHY PARK - BALL DIAMOND BS #266,250 N GARNET STREET,MCMURCHY PARK,50.4811328330001,-104.627556287
,BALL DIAMOND,ALBERT SCOTT/SCOTT COLLEGIATE NW - BALL DIAMOND BS #141,3355 6TH AVENUE,ALBERT SCOTT/SCOTT COLLEGIATE NW,50.4596626370001,-104.63085605
,PLAYGROUND,CARLTON PARK - PLAYGROUND 1450 CARLTON ST,1436 CARLTON STREET,CARLTON PARK,50.4562335730001,-104.671440503
,WASCANA CENTRE,SASKATCHEWAN SCIENCE CENTRE AND SPC,2901 POWERHOUSE DRIVE,WASCANA CENTRE,50.433209827,-104.594682191
,ATHLETIC FIELD,FUHRMANN PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,170 FUHRMANN CRESCENT,FUHRMANN PARK,50.487157644,-104.657572194
,BASKETBALL,SACRED HEART SCHOOL - BASKETBALL,1314 ELPHINSTONE STREET,SACRED HEART SCHOOL,50.4580377940001,-104.631760021
,ATHLETIC FIELD,MCNIVEN PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,1010 MCNIVEN AVENUE,MCNIVEN PARK,50.4184851400001,-104.595734022
,SEASONAL WASHROOM,RICK HANSEN OPTIMIST PLAYGROUND - SEASONAL WASHROOM,1010 MCCARTHY BOULEVARD,RICK HANSEN OPTIMIST PLAYGROUND,50.4602322860001,-104.675246118
,BALL DIAMOND,BALFOUR HIGH SCHOOL - BALL DIAMOND BS #62,1245 COLLEGE AVENUE,BALFOUR HIGH SCHOOL,50.439060081,-104.600323317
,BASKETBALL,STEWART RUSSELL PARK - BASKETBALL,1920 E 7TH AVENUE,STEWART RUSSELL PARK,50.4592756660001,-104.555758554
,BASKETBALL,QUEEN ST. PARK - BASKETBALL,4410 QUEEN STREET,QUEEN ST. PARK,50.4090276350001,-104.637804181
,SEASONAL WASHROOM,DOUGLAS PARK WASHROOM/CHANGE ROOM BUNKER - SEASONAL WASHROOM,3025 MCDONALD STREET,DOUGLAS PARK WASHROOM/CHANGE ROOM BUNKER,50.4284076390001,-104.578212012
,PLAYGROUND,HANSEN DR. PARK - PLAYGROUND 542 HANSEN DR,542 HANSEN DRIVE,HANSEN DR. PARK,50.47027022,-104.685038105
,BALL DIAMOND,KINSMEN PARK NORTH SW - BALL DIAMOND BS #166,850 PASQUA STREET,KINSMEN PARK NORTH SW,50.464644622,-104.642760117
,PLAYGROUND,JUDGE BRYANT SCHOOL - PLAYGROUND 2828 E DEWDNEY AVE,2828 E DEWDNEY AVENUE,JUDGE BRYANT SCHOOL,50.4559596670001,-104.542673423
,REC_NBHD FACILITY,ARCOLA EAST COMMUNITY CENTRE - REC_NBHD FACILITY,3860 BUCKINGHAM DRIVE,ARCOLA EAST COMMUNITY CENTRE,50.4295757800001,-104.526725045
,PLAYGROUND,RUTH PAWSON PARK - PLAYGROUND 20 WEEKES CRES,18 WEEKES CRESCENT,RUTH PAWSON PARK,50.4965107230001,-104.604051842
,ATHLETIC FIELD,O'NEILL MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,134 ARGYLE STREET,O'NEILL MULTI,50.4775124860001,-104.634865842
,BALL DIAMOND,NORTH EAST PARK SW - BALL DIAMOND,478 N BROAD STREET,NORTH EAST PARK SW,50.483396332,-104.609299738
,OUTDOOR TENNIS,MCLURG SCHOOL PARK - OUTDOOR TENNIS,201 FULTON DRIVE,MCLURG SCHOOL PARK,50.4723397980001,-104.677528357
,PLAYGROUND,WHELAN/RADWAY PARK - PLAYGROUND 1202 N RADWAY ST,1202 N RADWAY STREET,WHELAN/RADWAY PARK,50.4984757350001,-104.669406609
,BALL DIAMOND,MCVEETY PARK - BALL DIAMOND BS #29,1851 JUBILEE AVENUE,MCVEETY PARK,50.419732621,-104.607280481
,ATHLETIC FIELD,NEW ALBERT PARK - ATHLETIC FIELD SOCCER ATHLETIC FIELD,5002 MCTAVISH STREET,NEW ALBERT PARK,50.3986339800001,-104.636055364
,OUTDOOR RINK BOARDED,LITZENBERGER PARK - OUTDOOR RINK BOARDED,100 RINK AVENUE,LITZENBERGER PARK,50.4886929260001,-104.650144108
,PLAYGROUND,DOVER PARK - PLAYGROUND 1101 8TH AVE N,1101 8TH AVENUE N,DOVER PARK,50.483134363,-104.597047367
,SEASONAL WASHROOM,DOUGLAS PARK WASHROOM - SEASONAL WASHROOM,3025 MCDONALD STREET,DOUGLAS PARK WASHROOM,50.428121543,-104.578190832
,PLAYGROUND,ST. JOSAPHAT SCHOOL S - PLAYGROUND 140 GREENWOOD CRES,140 GREENWOOD CRESCENT,ST. JOSAPHAT SCHOOL S,50.4756402410001,-104.680665381
,PLAYGROUND,EWART PARK - PLAYGROUND 1564 N DEVONSHIRE DR,1564 N DEVONSHIRE DRIVE,EWART PARK,50.5043121780001,-104.667856842
,PLAYGROUND,DR. GEORGE FERGUSON PARK E - PLAYGROUND 129 BROTHERTON AVE,117 BROTHERTON AVENUE,DR. GEORGE FERGUSON PARK E,50.4513961390001,-104.556069137
,ATHLETIC FIELD,LES SHERMAN MULTI - ATHLETIC FIELD MULTI-USE ATHLETIC FIELD,2404 ELPHINSTONE STREET,LES SHERMAN MULTI,50.441637599,-104.634783586
,PLAYGROUND,PROCTER PARK - PLAYGROUND 100 PROCTER PL,100 PROCTER PLACE,PROCTER PARK,50.417080582,-104.614191788
,BALL DIAMOND,QUEEN'S PARK/CORONATION - BALL DIAMOND BS #242,2925 4TH AVENUE N,QUEEN'S PARK/CORONATION,50.4746297170001,-104.622979271
,MALL,GOLDEN MILE SHOPPING CENTRE,3846 ALBERT STREET,GOLDEN MILE SHOPPING CENTRE,50.4172557840001,-104.620232599
,PLAYGROUND,MAHON ARENA - PLAYGROUND 130 BROTHERTON AVE,130 BROTHERTON AVENUE,MAHON ARENA,50.4528426900001,-104.554572071
,ATHLETIC FIELD,DAVIN SCHOOL - ATHLETIC FIELD SOCCER ATHLETIC FIELD,2401 RETALLACK STREET,DAVIN SCHOOL,50.4404374710001,-104.620927261
,PLAYGROUND,JACK MACKENZIE/ST. GABRIEL SCHOOL - PLAYGROUND 3860 BUCKINGHAM DR,3860 BUCKINGHAM DRIVE,JACK MACKENZIE/ST. GABRIEL SCHOOL,50.4301881540001,-104.527630345
,PLAYGROUND,MCVEETY PARK - PLAYGROUND 1851 JUBILEE AVE,1851 JUBILEE AVENUE,MCVEETY PARK,50.4208297060001,-104.60660103
,PLAYGROUND,KITCHNER SCHOOL - PLAYGROUND 840 ATHOL ST,840 ATHOL STREET,KITCHNER SCHOOL,50.465931706,-104.629066559
,PLAYGROUND,GLADYS MCDONALD SCHOOL - PLAYGROUND 335 N GARNET ST,335 N GARNET STREET,GLADYS MCDONALD SCHOOL,50.4813337420001,-104.625882319
,WASCANA CENTRE,PARK PLACE RESTAURANT,3000 WASCANA DRIVE,WASCANA CENTRE,50.4310453030001,-104.606546506
,OUTDOOR RINK UNBOARDED,CORONATION PARK SCHOOL - OUTDOOR RINK UNBOARDED,3105 4TH AVENUE N,CORONATION PARK SCHOOL,50.475323513,-104.624128175
,OUTDOOR RINK SHELTER,UNIVERSITY PARK - OUTDOOR RINK SHELTER,165 WINDFIELD ROAD,UNIVERSITY PARK,50.4313008440001,-104.562760406
,OUTDOOR RINK UNBOARDED,W. WALKER PARK - OUTDOOR RINK UNBOARDED,1910 E WAGMAN DRIVE,W. WALKER PARK,50.4402795340001,-104.555841667
,UNIVERSITY OF REGINA,PTRC BUILDING,4141 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4144326040001,-104.590051521
,SPRAYPAD,QUEEN ELIZABETH JUBILEE PARK - SPRAYPAD 121 E BROADWAY AVE,121 E BROADWAY AVENUE,QUEEN ELIZABETH JUBILEE PARK,50.436332329,-104.581077852
,BASKETBALL,W.F. READY SCHOOL - BASKETBALL,2710 HELMSING STREET,W.F. READY SCHOOL,50.4374581310001,-104.540169822
,UNIVERSITY OF REGINA,TWO RESEARCH DR,4141 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4152990910001,-104.589834355
,ATHLETIC FIELD,MOUNT PLEASANT NORTH SOCCER - ATHLETIC FIELD SOCCER ATHLETIC FIELD,750 N WINNIPEG STREET,MOUNT PLEASANT NORTH SOCCER,50.4907978850001,-104.595954003
,PLAYGROUND,SACRED HEART SCHOOL - PLAYGROUND 1314 ELPHINSTONE ST,1314 ELPHINSTONE STREET,SACRED HEART SCHOOL,50.45806537,-104.631403856
,PUBLIC HIGH SCHOOL,COCHRANE HIGH SCHOOL - PUBLIC HIGH SCHOOL,1069 E 14TH AVENUE,COCHRANE HIGH SCHOOL - PUBLIC HIGH SCHOOL,50.4429594640001,-104.568228079
,SPRAYPAD,ROSEMONT PARK - SPRAYPAD 1101 WALKER ST  @ 6TH AVE,1101 WALKER STREET,ROSEMONT PARK,50.4601314650001,-104.66217102
,BALL DIAMOND,NORTH EAST PARK NE - BALL DIAMOND BS #281 (AKA=REGINA MINOR GIRLS BALL),1825 9TH AVENUE N,NORTH EAST PARK NE,50.4839448450001,-104.607122877
,OUTDOOR SKATEBOARD PARK,LAKERIDGE SPORTS PARK - OUTDOOR SKATEBOARD PARK,5451 ROCHDALE BOULEVARD,LAKERIDGE SPORTS PARK,50.4953850730001,-104.659056912
,,ARCHBISHOP O_NEILL COLLEGIATE -  REMOVED,134 ARGYLE STREET,ARCHBISHOP O_NEILL COLLEGIATE,50.478193473,-104.634453271
,BALL DIAMOND,LAKERIDGE SPORTS PARK/RIFFEL - BALL DIAMOND BS #214,5657 ROCHDALE BOULEVARD,LAKERIDGE SPORTS PARK/RIFFEL,50.4952232160001,-104.660600458
,OUTDOOR RINK SHELTER,MCDERMID SCHOOL - OUTDOOR RINK SHELTER,139 TORONTO STREET,MCDERMID SCHOOL,50.4769057380001,-104.597622454
,OUTDOOR RINK SHELTER,STEWART RUSSELL PARK - OUTDOOR RINK SHELTER,1912 E 7TH AVENUE,STEWART RUSSELL PARK,50.458907034,-104.556337605
,ARENA,WHEAT CITY KINSMEN - ARENA,560 ELPHINSTONE STREET,WHEAT CITY KINSMEN,50.4700505610001,-104.631976387
,PUBLIC ELEMENTARY SCHOOL,DAVIN - PUBLIC ELEMENTARY SCHOOL,2401 RETALLACK STREET,DAVIN - PUBLIC ELEMENTARY SCHOOL,50.4402420370001,-104.621550102
,BALL DIAMOND,LAKEVIEW PARK - BALL DIAMOND BS #44,2910 ATHOL STREET,LAKEVIEW PARK,50.4330760730001,-104.628583675
,PLAYGROUND,HIRD PARK - PLAYGROUND 6530 HIRD CRES,6530 HIRD CRESCENT,HIRD PARK,50.504247315,-104.673795436
,BALL DIAMOND,CONNAUGHT SCHOOL SE - BALL DIAMOND BS #123,2124 ELPHINSTONE STREET,CONNAUGHT SCHOOL SE,50.444128456,-104.631421074
,PLAYGROUND,SPRUCE MEADOWS - PLAYGROUND 3211 E TREGARVA DR.,3211 E TREGARVA DRIVE,SPRUCE MEADOWS,50.4418899130001,-104.536135714
,BALL DIAMOND,NORTH EAST PARK NEE - BALL DIAMOND,444 N BROAD STREET,NORTH EAST PARK NEE,50.4831714040001,-104.608085304
,LIBRARY,GEORGE BOTHWELL BRANCH LIBRARY,2715 GORDON ROAD,GEORGE BOTHWELL BRANCH LIBRARY,50.4023891740001,-104.622253357
,BALL DIAMOND,PACERS SPORTS PARK  MOSQUITO 1 - BALL DIAMOND,5000 E ARCOLA AVENUE,PACERS SPORTS PARK  MOSQUITO 1,50.4134595690001,-104.503940301
,PLAYGROUND,DOMINION PARK - PLAYGROUND 2735 LACON ST,2715 LACON STREET,DOMINION PARK,50.4355503790001,-104.568264388
,BALL DIAMOND,LEBOLDUS HIGH SCHOOL - BALL DIAMOND BS #18,2330 25TH AVENUE,LEBOLDUS HIGH SCHOOL,50.4211454620001,-104.614178416
,BALL DIAMOND,HOLY ROSARY PARK - BALL DIAMOND,3118 14TH AVENUE,HOLY ROSARY PARK,50.4441376920001,-104.6279607
,BALL DIAMOND,STOREY PARK - BALL DIAMOND BS #213,15 STOREY CRESCENT,STOREY PARK,50.4864895030001,-104.669049515
,OUTDOOR RINK SHELTER,JUDGE BRYANT SCHOOL - OUTDOOR RINK SHELTER,2626 E DEWDNEY AVENUE,JUDGE BRYANT SCHOOL,50.456679126,-104.541177489
,UNIVERSITY OF REGINA,LABORATORIES,3769 WASCANA PARKWAY,UNIVERSITY OF REGINA,50.4186815410001,-104.592037461
,PLAYGROUND,DIEPPE SCHOOL E - PLAYGROUND 145 DOROTHY ST,145 DOROTHY STREET,DIEPPE SCHOOL E,50.4583807280001,-104.679349782
,SEASONAL WASHROOM,KINSMEN PARK NORTH - SEASONAL WASHROOM,850 PASQUA STREET,KINSMEN PARK NORTH,50.465987291,-104.641982512
,BASKETBALL,GLADYS MCDONALD SCHOOL - BASKETBALL,335 N GARNET STREET,GLADYS MCDONALD SCHOOL,50.4811564450001,-104.626002147
